,0,1,2,3,4,5,6,7,8,9
100,"('moving', 0.3121783385675638)","('sale', 0.16364673460567447)","('selling', 0.1381021490473706)","('item', 0.11837179235888091)","('pakkiautomaat', 0.09600692030249698)","('itens', 0.09600692030249698)","('nobblesner', 0.08652413359107797)","('hii', 0.07400927920372985)","('belonging', 0.06942473048979746)","('privately', 0.06942473048979746)"
101,"('arak', 0.10527102920247819)","('leaving', 0.097330447899888)","('poster', 0.06982757903377375)","('store', 0.06874044125732195)","('reach', 0.06570503182754482)","('profile', 0.06351828478063642)","('colour', 0.06287934896824397)","('selling', 0.06000867190748841)","('touma', 0.058404209850685666)","('reinforce', 0.058404209850685666)"
102,"('massage', 0.25091774091993374)","('therapist', 0.0859170072347994)","('session', 0.057617404527258165)","('appointment', 0.05066010373483933)","('acupuncturist', 0.0503287789015832)","('alo', 0.0503287789015832)","('roosikrantsi', 0.0503287789015832)","('mentioned', 0.04816501244324139)","('adjustment', 0.04710517592541131)","('bone', 0.04304922216631298)"
103,"('hall', 0.062139163632224124)","('town', 0.060416632058814715)","('street', 0.059745718924135445)","('catherine', 0.050844641196149794)","('church', 0.05084113388091065)","('courtyard', 0.04518888011430659)","('square', 0.03636931282264563)","('tower', 0.031952000721780886)","('passage', 0.03041832240120622)","('medieval', 0.029697921991685732)"
104,"('museum', 0.19730250030881746)","('muuseum', 0.1157533475434436)","('tallinna', 0.08689534877524834)","('kirjanduskeskus', 0.07136113421974818)","('epping', 0.051252115045380194)","('tower', 0.047236556875707957)","('kumu', 0.04496922833344609)","('literature', 0.04390421724966751)","('medieval', 0.04390421724966751)","('exhibition', 0.041435334272839304)"
105,"('volunteer', 0.08762498903007289)","('pillapalu', 0.0692650946393882)","('ambulance', 0.05197954180261758)","('worldpackers', 0.04547461214337784)","('rescue', 0.04493470131996582)","('metaverse', 0.04155905678363292)","('retreat', 0.03898465635196319)","('medical', 0.038316968130859476)","('volunteering', 0.03487303960985539)","('activity', 0.03455732588327372)"
106,"('bottle', 0.22506490121923392)","('recycle', 0.22424802326350504)","('trash', 0.17470346228657377)","('dispose', 0.14343391279306936)","('throw', 0.11450532114655568)","('wrap', 0.1117922434008618)","('deposit', 0.1073162934854068)","('recycling', 0.10463185094936495)","('printer', 0.08176302425031656)","('waste', 0.07521040178464386)"
107,"('child', 0.06505371620189496)","('druk', 0.036092924297992525)","('ues', 0.036092924297992525)","('participating', 0.03542903311579096)","('poi', 0.0337811404493664)","('remunerated', 0.0337811404493664)","('kindergarten', 0.03336606185253304)","('errand', 0.03214239786417415)","('daughter', 0.03171788357873831)","('accompany', 0.02896003043288694)"
108,"('bus', 0.1768141715669268)","('lane', 0.1448654898011038)","('scooter', 0.07854866844104468)","('train', 0.07317602300529064)","('oneway', 0.0717757017289624)","('route', 0.07141456946635952)","('pedestrian', 0.057590969610854706)","('sidewalk', 0.057590969610854706)","('finland', 0.056769218702904155)","('bike', 0.05367440930372846)"
109,"('box', 0.3942958097574352)","('moving', 0.20780260226837832)","('rid', 0.12708205439285783)","('bauhaus', 0.11495058259302722)","('dreaming', 0.07455856576683277)","('happen', 0.07136766940158305)","('carton', 0.06719427395902863)","('searching', 0.06562037754427273)","('princess', 0.06289042104935233)","('doe', 0.061369414843797994)"
110,"('booked', 0.12792752490770187)","('shelf', 0.09185952025582077)","('ikea', 0.05665896654236666)","('pot', 0.045102418480398435)","('feather', 0.03832114730577303)","('plant', 0.0371240409271067)","('white', 0.03657740367769098)","('rack', 0.03653123276124966)","('shoe', 0.036400841230340326)","('retail', 0.03269245722020923)"
111,"('animation', 0.39551157266071685)","('motion', 0.2344129220992383)","('club', 0.09954087761627949)","('art', 0.09624518955990301)","('create', 0.08759066842126963)","('professional', 0.08518401400132686)","('sunday', 0.07365839847195357)","('workshop', 0.06340730283604824)","('registration', 0.06249452449505221)","('animated', 0.056446014274719736)"
112,"('king', 0.09542477722864147)","('instalment', 0.09493193309839226)","('frodo', 0.09493193309839226)","('gandalf', 0.09493193309839226)","('lord', 0.0876088698754729)","('reading', 0.07510194052284416)","('final', 0.07166991418385055)","('dramatic', 0.0681808439543088)","('tower', 0.06283893475283574)","('sam', 0.05982270072237223)"
113,"('stolen', 0.20462266238057372)","('bike', 0.16642669193505064)","('police', 0.06861232981267487)","('lock', 0.05978989659400681)","('wa', 0.05161076069145497)","('piraattakso', 0.042391018470796585)","('stole', 0.03967583609824912)","('security', 0.03798081481303327)","('eye', 0.0372525478273772)","('cut', 0.036575743774362554)"
114,"('caring', 0.272009708956872)","('sharing', 0.1991251727949331)","('rich', 0.18856098363600693)","('untrusting', 0.14017010364164562)","('plzzz', 0.14017010364164562)","('responsibly', 0.12632523504297383)","('mehed', 0.12632523504297383)","('kodut', 0.12632523504297383)","('aidake', 0.12632523504297383)","('insider', 0.11823399157278239)"
115,"('card', 0.2379476812753452)","('swedbank', 0.15139507925697926)","('debit', 0.1332580058695063)","('bank', 0.11710397353081851)","('atm', 0.08718259902463847)","('lost', 0.08712212458633567)","('plzz', 0.06738947290463732)","('mihkel', 0.06738947290463732)","('esnaashari', 0.06738947290463732)","('lastname', 0.06738947290463732)"
116,"('washing', 0.2538145837593155)","('machine', 0.17194203004579825)","('wash', 0.11695396905588956)","('miele', 0.09717325772536449)","('washer', 0.09094922428675568)","('electrolux', 0.08311811356726584)","('dryer', 0.07252345524461806)","('drawer', 0.06277246232749532)","('laundromat', 0.05391157832370985)","('suspect', 0.05391157832370985)"
117,"('ride', 0.14470764099922642)","('horse', 0.07957654870472619)","('horseriding', 0.06320134411494917)","('ferry', 0.050938147744732584)","('riding', 0.050938147744732584)","('rider', 0.04046949349717063)","('seat', 0.03978112419348085)","('tee', 0.035066240634921315)","('motorcycle', 0.03460382674264334)","('organise', 0.03336589735021354)"
118,"('car', 0.20713255209860404)","('trailer', 0.15585387819775923)","('plate', 0.1168553605532464)","('italy', 0.07790357370216426)","('hand', 0.07559342719622458)","('registered', 0.0751665808621223)","('ownership', 0.07377373875876084)","('shook', 0.07377373875876084)","('enormously', 0.07377373875876084)","('insure', 0.07377373875876084)"
119,"('family', 0.12233922808772822)","('friendship', 0.07054027182782362)","('mum', 0.05507038073481511)","('dad', 0.0539674167072767)","('itsjuly', 0.05049231198011476)","('platform', 0.04851150146365397)","('connect', 0.04727243529269427)","('grandfather', 0.041437146579246166)","('matched', 0.03942700672591456)","('parent', 0.03916903721837694)"
120,"('meat', 0.38287542028617433)","('halal', 0.2214590363280126)","('pastrami', 0.10817153127366302)","('lamb', 0.1038976419590823)","('brisket', 0.08097771477113706)","('butcher', 0.07579102023896307)","('chicken', 0.0740583410346484)","('smoked', 0.07211435418244201)","('beef', 0.05812173268309231)","('cuisine', 0.052992143549259976)"
121,"('plant', 0.19797066834905236)","('cactus', 0.15410738702001306)","('egg', 0.11040564496121998)","('gymno', 0.09600692030249698)","('astrophytum', 0.09600692030249698)","('mushroomings', 0.09600692030249698)","('ostrich', 0.09600692030249698)","('vera', 0.09600692030249698)","('tree', 0.09468880579194425)","('yummy', 0.08652413359107797)"
122,"('ticket', 0.16962860513836386)","('trap', 0.08630218362976816)","('croatia', 0.0762227200060084)","('delete', 0.06618241093841168)","('comment', 0.057388529823039706)","('mentalism', 0.051156972131987444)","('pohjala', 0.051156972131987444)","('informaiton', 0.051156972131987444)","('isu', 0.051156972131987444)","('johhan', 0.051156972131987444)"
